"MBC_URL","IMDB_URL","Film","Year","Body_Count"
"http://www.moviebodycounts.com/24_Hour_Party_People.htm","http://www.imdb.com/title/tt0274309/","24 Hour Party People",2002,7
"http://www.moviebodycounts.com/3-10_To_Yuma.htm","http://www.imdb.com/title/tt0381849/","3:10 To Yuma",2007,45
"http://www.moviebodycounts.com/300.htm","http://www.imdb.com/title/tt0416449/","300",2007,600
"http://www.moviebodycounts.com/8MM.htm","http://www.imdb.com/title/tt0134273/","8MM",1999,7
"http://www.moviebodycounts.com/Abominable_Dr_Phibes.htm","http://www.imdb.com/title/tt0066740/","The Abominable Dr. Phibes",1971,10
"http://www.moviebodycounts.com/Above_the_Law.htm","http://www.imdb.com/title/tt0094602/","Above the Law",1988,18
"http://www.moviebodycounts.com/Action_Jackson.htm","http://www.imdb.com/title/tt0094612/","Action Jackson",1988,17
"http://www.moviebodycounts.com/Adventures_of_Ford_Fairlane.htm","http://www.imdb.com/title/tt0098987/","The Adventures of Ford Fairlane",1990,7
"http://www.moviebodycounts.com/Aeon_Flux.htm","http://us.imdb.com/title/tt0402022/","Aeon Flux",2005,58
"http://www.moviebodycounts.com/Akira.htm","http://www.imdb.com/title/tt0094625/","Akira",1988,119
"http://www.moviebodycounts.com/Ali_G_Indahouse.htm","http://www.imdb.com/title/tt0284837/","Ali G Indahouse",2002,11
"http://www.moviebodycounts.com/Alien.htm","http://www.imdb.com/title/tt0078748/","Alien",1979,18
"http://www.moviebodycounts.com/Aliens_vs_Predator_R.htm","http://www.imdb.com/title/tt0758730/","Aliens vs. Predator: Requiem",2007,230
"http://www.moviebodycounts.com/Alpha_Dog.htm","http://imdb.com/title/tt0426883/","Alpha Dog",2007,3
"http://www.moviebodycounts.com/Altered_States.htm","http://www.imdb.com/title/tt0080360/","Altered States",1980,5
"http://www.moviebodycounts.com/American_Gangster.htm","http://www.imdb.com/title/tt0765429/","American Gangster",2007,15
"http://www.moviebodycounts.com/American_Ninja.htm","http://www.imdb.com/title/tt0088708/","American Ninja",1985,114
"http://www.moviebodycounts.com/American_Pop.htm","http://www.imdb.com/title/tt0082009/","American Pop",1981,61
"http://www.moviebodycounts.com/American_Psycho.htm","http://amazon.imdb.com/title/tt0144084/","American Psycho",2000,18
"http://www.moviebodycounts.com/American_Yakuza.htm","http://www.imdb.com/title/tt0109099/","American Yakuza",1993,53
"http://www.moviebodycounts.com/Another_Day_In_Paradise.htm","http://www.imdb.com/title/tt0127722/","Another Day In Paradise",1997,9
"http://www.moviebodycounts.com/Apocalypse_Now.htm","http://imdb.com/title/tt0078788/","Apocalypse Now",1979,62
"http://www.moviebodycounts.com/Apocalypto.htm","http://www.imdb.com/title/tt0472043/","Apocalypto",2006,114
"http://www.moviebodycounts.com/Appaloosa.htm","http://www.imdb.com/title/tt0800308/","Appaloosa",2008,10
"http://www.moviebodycounts.com/Armageddon.htm","http://www.imdb.com/title/tt0120591/","Armageddon",1998,16
"http://www.moviebodycounts.com/Army_of_Darkness.htm","http://www.imdb.com/title/tt0106308/","Evil Dead III: Army Of Darkness",1993,107
"http://www.moviebodycounts.com/Assault_On_Precinct_13_%281976%29.htm","http://www.imdb.com/title/tt0074156/","Assault On Precinct 13",1976,39
